Date,Open,High,Low,Close*,Adj. close**,Volume
7-Oct-99,"1,325.40","1,328.05","1,314.13","1,317.64","1,317.64","827,800,000"
6-Oct-99,"1,301.35","1,325.46","1,301.35","1,325.40","1,325.40","895,200,000"
5-Oct-99,"1,304.60","1,316.41","1,286.44","1,301.35","1,301.35","965,700,000"
4-Oct-99,"1,282.81","1,304.60","1,282.81","1,304.60","1,304.60","803,300,000"
1-Oct-99,"1,282.71","1,283.17","1,265.78","1,282.81","1,282.81","896,200,000"
30-Sep-99,"1,268.37","1,291.31","1,268.37","1,282.71","1,282.71","1,017,600,000"
29-Sep-99,"1,282.20","1,288.83","1,268.16","1,268.37","1,268.37","856,000,000"
28-Sep-99,"1,283.31","1,285.55","1,256.26","1,282.20","1,282.20","885,400,000"
27-Sep-99,"1,277.36","1,295.03","1,277.36","1,283.31","1,283.31","780,600,000"
24-Sep-99,"1,280.41","1,281.17","1,263.84","1,277.36","1,277.36","872,800,000"
23-Sep-99,"1,310.51","1,315.25","1,277.30","1,280.41","1,280.41","890,800,000"
22-Sep-99,"1,307.58","1,316.18","1,297.81","1,310.51","1,310.51","822,200,000"
21-Sep-99,"1,335.52","1,335.53","1,301.97","1,307.58","1,307.58","817,300,000"
20-Sep-99,"1,335.42","1,338.38","1,330.61","1,335.53","1,335.53","568,000,000"
17-Sep-99,"1,318.48","1,337.59","1,318.48","1,335.42","1,335.42","861,900,000"
16-Sep-99,"1,317.97","1,322.51","1,299.97","1,318.48","1,318.48","739,000,000"
15-Sep-99,"1,336.29","1,347.21","1,317.97","1,317.97","1,317.97","787,300,000"
14-Sep-99,"1,344.13","1,344.18","1,330.61","1,336.29","1,336.29","734,500,000"
13-Sep-99,"1,351.66","1,351.66","1,341.70","1,344.13","1,344.13","657,900,000"
10-Sep-99,"1,347.66","1,357.62","1,346.20","1,351.66","1,351.66","808,500,000"
9-Sep-99,"1,344.15","1,347.66","1,333.91","1,347.66","1,347.66","773,900,000"
8-Sep-99,"1,350.45","1,355.18","1,337.36","1,344.15","1,344.15","791,200,000"
7-Sep-99,"1,357.24","1,361.39","1,349.59","1,350.45","1,350.45","715,300,000"
3-Sep-99,"1,319.11","1,357.74","1,319.11","1,357.24","1,357.24","663,200,000"
2-Sep-99,"1,331.07","1,331.07","1,304.88","1,319.11","1,319.11","687,100,000"
1-Sep-99,"1,320.41","1,331.18","1,320.39","1,331.07","1,331.07","708,200,000"
